idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
3482,1603345,2024,https://www.sec.gov/Archives/edgar/data/1603345/000147793224005401/agtx_10k.htm,,https://www.sec.gov/Archives/edgar/data/1603345/000147793224005905/agtx_10q.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793224007361/agtx_10q.htm,https://www.sec.gov/Archives/edgar/data/1603345/000147793225001090/agtx_10q.htm
3618,57131,2024,https://www.sec.gov/Archives/edgar/data/57131/000005713124000028/lzb-20240427.htm,https://www.sec.gov/Archives/edgar/data/57131/000005713124000013/lzb-20240127.htm,,https://www.sec.gov/Archives/edgar/data/57131/000005713124000081/lzb-20240727.htm,https://www.sec.gov/Archives/edgar/data/57131/000005713124000111/lzb-20241026.htm
229,779152,2024,https://www.sec.gov/Archives/edgar/data/779152/000077915224000079/jkhy-20240630.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915224000033/jkhy-20240331.htm,,https://www.sec.gov/Archives/edgar/data/779152/000077915224000111/jkhy-20240930.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915225000009/jkhy-20241231.htm
2290,1865200,2024,https://www.sec.gov/Archives/edgar/data/1865200/000141057825000747/port-20241231x10k.htm,https://www.sec.gov/Archives/edgar/data/1865200/000141057824000889/port-20240331x10q.htm,https://www.sec.gov/Archives/edgar/data/1865200/000141057824001436/port-20240630x10q.htm,https://www.sec.gov/Archives/edgar/data/1865200/000141057824001983/port-20240930x10q.htm,
218,1099160,2024,https://www.sec.gov/Archives/edgar/data/1099160/000095017025045211/bbgi-20241231.htm,https://www.sec.gov/Archives/edgar/data/1099160/000095017024057038/bbgi-20240331.htm,https://www.sec.gov/Archives/edgar/data/1099160/000095017024097026/bbgi-20240630.htm,https://www.sec.gov/Archives/edgar/data/1099160/000095017024124042/bbgi-20240930.htm,
2017,1556593,2024,https://www.sec.gov/Archives/edgar/data/1556593/000155659325000007/nrz-20241231.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659324000028/ritm-20240331.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659324000029/ritm-20240630.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659324000041/ritm-20240930.htm,
2639,914156,2024,https://www.sec.gov/Archives/edgar/data/914156/000117184325001192/ufpt20241231_10k.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184324002737/ufpt20240331_10q.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184324004633/ufpt20240630_10q.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184324006257/ufpt20240930_10q.htm,
1972,1709682,2024,https://www.sec.gov/Archives/edgar/data/1709682/000170968225000006/ctos-20241231.htm,https://www.sec.gov/Archives/edgar/data/1709682/000170968224000037/ctos-20240331.htm,https://www.sec.gov/Archives/edgar/data/1709682/000170968224000053/ctos-20240630.htm,https://www.sec.gov/Archives/edgar/data/1709682/000170968224000073/ctos-20240930.htm,
4884,16058,2024,https://www.sec.gov/Archives/edgar/data/16058/000001605824000132/caci-20240630.htm,https://www.sec.gov/Archives/edgar/data/16058/000001605824000070/caci-20240331.htm,,https://www.sec.gov/Archives/edgar/data/16058/000001605824000199/caci-20240930.htm,https://www.sec.gov/Archives/edgar/data/16058/000001605825000032/caci-20241231.htm
1371,1679628,2024,https://www.sec.gov/Archives/edgar/data/1679628/000164117225001261/form10-k.htm,,,https://www.sec.gov/Archives/edgar/data/1679628/000149315224051847/form10-q.htm,
1885,1610940,2024,https://www.sec.gov/Archives/edgar/data/1610940/000121390024082617/ea0214601-10k_amplify.htm,https://www.sec.gov/Archives/edgar/data/1610940/000121390024045347/ea0205741-10q_amplify.htm,,https://www.sec.gov/Archives/edgar/data/1610940/000121390024098370/ea0220480-10q_amplify.htm,https://www.sec.gov/Archives/edgar/data/1610940/000121390025014137/ea0231107-10q_amplify.htm
3752,1144980,2024,https://www.sec.gov/Archives/edgar/data/1144980/000114498025000077/abg-20241231.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498024000112/abg-20240331.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498024000130/abg-20240630.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498024000148/abg-20240930.htm,
549,1539850,2024,https://www.sec.gov/Archives/edgar/data/1539850/000164117225005354/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1539850/000149315224019905/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1539850/000149315224032129/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1539850/000149315224045945/form10-q.htm,
4001,1584754,2024,https://www.sec.gov/Archives/edgar/data/1584754/000121390024085984/ea0209774-10k_akoustis.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390024041897/ea0204504-10q_akoustis.htm,,https://www.sec.gov/Archives/edgar/data/1584754/000121390024097800/ea0218907-10q_akoustis.htm,
5204,1481504,2024,https://www.sec.gov/Archives/edgar/data/1481504/000147793224006252/xeri_10k.htm,https://www.sec.gov/Archives/edgar/data/1481504/000147793224002829/xeri_10q.htm,,https://www.sec.gov/Archives/edgar/data/1481504/000147793224007198/xeri_10q.htm,https://www.sec.gov/Archives/edgar/data/1481504/000147793225001010/xeri_10q.htm
3404,1497649,2024,https://www.sec.gov/Archives/edgar/data/1497649/000190359625000341/gstx_10k.htm,https://www.sec.gov/Archives/edgar/data/1497649/000190359624000355/gstx_10q.htm,https://www.sec.gov/Archives/edgar/data/1497649/000190359624000614/gstx_10q.htm,,
4920,846913,2024,https://www.sec.gov/Archives/edgar/data/846913/000143774925006116/ftek20241231_10k.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774924015111/ftek20240331_10q.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774924024919/ftek20240630_10q.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774924033640/ftek20240930_10q.htm,
1862,1166003,2024,https://www.sec.gov/Archives/edgar/data/1166003/000116600325000017/xpo-20241231.htm,https://www.sec.gov/Archives/edgar/data/1166003/000116600324000066/xpo-20240331.htm,https://www.sec.gov/Archives/edgar/data/1166003/000116600324000073/xpo-20240630.htm,https://www.sec.gov/Archives/edgar/data/1166003/000116600324000076/xpo-20240930.htm,
3780,720858,2024,https://www.sec.gov/Archives/edgar/data/720858/000072085825000007/itic-20241231.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085824000007/itic-20240331.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085824000020/itic-20240630.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085824000025/itic-20240930.htm,
1229,1069878,2024,https://www.sec.gov/Archives/edgar/data/1069878/000095017025025780/trex-20241231.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312524135380/d788119d10q.htm,https://www.sec.gov/Archives/edgar/data/1069878/000095017024091989/trex-20240630.htm,https://www.sec.gov/Archives/edgar/data/1069878/000095017024117783/trex-20240930.htm,
1686,1580149,2024,https://www.sec.gov/Archives/edgar/data/1580149/000152013824000324/bivi-20240630_10k.htm,https://www.sec.gov/Archives/edgar/data/1580149/000152013824000204/bivi-20240331_10q.htm,,https://www.sec.gov/Archives/edgar/data/1580149/000152013824000425/bivi-20240930_10q.htm,https://www.sec.gov/Archives/edgar/data/1580149/000152013825000056/bivi-20241231_10q.htm
