idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
1017,0001816017,2024,https://www.sec.gov/Archives/edgar/data/1816017/000095017025047695/spir-20241231.htm,https://www.sec.gov/Archives/edgar/data/1816017/000095017025030862/spir-20240331.htm,https://www.sec.gov/Archives/edgar/data/1816017/000095017025030868/spir-20240630.htm,https://www.sec.gov/Archives/edgar/data/1816017/000095017025030877/spir-20240930.htm,
3215,0001383650,2024,https://www.sec.gov/Archives/edgar/data/1383650/000138365025000007/cqp-20241231.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365024000027/cqp-20240331.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365024000038/cqp-20240630.htm,https://www.sec.gov/Archives/edgar/data/1383650/000138365024000058/cqp-20240930.htm,
2911,0000016918,2024,https://www.sec.gov/Archives/edgar/data/16918/000001691824000054/stz-20240229.htm,,https://www.sec.gov/Archives/edgar/data/16918/000001691824000111/stz-20240531.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691824000178/stz-20240831.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000004/stz-20241130.htm
2363,0000035527,2024,https://www.sec.gov/Archives/edgar/data/35527/000003552725000079/fitb-20241231.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552724000166/fitb-20240331.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552724000212/fitb-20240630.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552724000249/fitb-20240930.htm,
7059,0001698990,2024,https://www.sec.gov/Archives/edgar/data/1698990/000169899025000006/mgy-20241231.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899024000024/mgy-20240331.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899024000031/mgy-20240630.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899024000041/mgy-20240930.htm,
6440,0000828944,2024,https://www.sec.gov/Archives/edgar/data/828944/000162828025008977/wsfs-20241231.htm,https://www.sec.gov/Archives/edgar/data/828944/000162828024020601/wsfs-20240331.htm,https://www.sec.gov/Archives/edgar/data/828944/000162828024034342/wsfs-20240630.htm,https://www.sec.gov/Archives/edgar/data/828944/000162828024045632/wsfs-20240930.htm,
2747,0000813828,2024,https://www.sec.gov/Archives/edgar/data/813828/000081382825000005/para-20241231.htm,https://www.sec.gov/Archives/edgar/data/813828/000081382824000020/para-20240331.htm,https://www.sec.gov/Archives/edgar/data/813828/000081382824000053/para-20240630.htm,https://www.sec.gov/Archives/edgar/data/813828/000081382824000079/para-20240930.htm,
6346,0000784977,2024,https://www.sec.gov/Archives/edgar/data/784977/000078497725000012/por-20241231.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497724000085/por-20240331.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497724000133/por-20240630.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497724000167/por-20240930.htm,
4151,0001730773,2024,https://www.sec.gov/Archives/edgar/data/1730773/000164117225015976/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315224019628/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315224032339/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315224046037/form10-q.htm,
3172,0001823652,2024,https://www.sec.gov/Archives/edgar/data/1823652/000155485525000157/evex-20241231.htm,https://www.sec.gov/Archives/edgar/data/1823652/000155485524000334/evex-20240331.htm,https://www.sec.gov/Archives/edgar/data/1823652/000155485524000621/evex-20240630.htm,https://www.sec.gov/Archives/edgar/data/1823652/000155485524000734/evex-20240930.htm,
